experiment,condition,model,seed,base_test_mse,best_test_mse,best_alpha,improvement_pct,test_mse_a0.0,test_mse_a0.3,test_mse_a0.5,test_mse_a0.7,test_mse_a1.0
A,main,GB(sm),56,1.4595575923506048,1.3666039528690646,0.7,6.368617447417008,1.4574172363326956,1.616973203076454,1.5108983294051366,1.3666039528690646,1.4595575923506048
A,main,GB(sm),57,1.117956521835853,1.1736038041018668,0.3,-4.9775891261524805,1.2170854390483583,1.1736038041018668,1.1664279475125778,1.1058975563913378,1.117956521835853
A,main,GB(sm),58,1.676900623724727,1.5273858083575582,0.0,8.91614048273576,1.5273858083575582,1.5440340507742063,1.584487110755925,1.6343841657009426,1.676900623724727
A,main,GB(sm),59,1.1949905350847247,1.2040770182030855,0.3,-0.7603811788949917,1.2579196596688185,1.2040770182030855,1.2302757725996452,1.2298013155669922,1.1949905350847247
A,main,GB(sm),60,1.1200426413166713,1.166041111384825,0.5,-4.106849897614612,1.1852394078888138,1.2752238593204652,1.166041111384825,1.1518059038823716,1.1200426413166713
A,main,GB(sm),61,1.4099571804887479,1.4099571804887479,1.0,0.0,1.4723351165242526,1.451647330836975,1.4793623708316654,1.4382787509016588,1.4099571804887479
A,main,DT(d5),42,4.499475513875605,4.511973196557484,0.7,-0.2777586552774647,4.52447028158689,4.662079787598314,4.650708109744134,4.511973196557484,4.499475513875605
A,main,DT(d5),43,3.8518989582008536,3.8518989582008536,1.0,0.0,4.275261956684471,3.971955078875894,3.963271985458641,3.855984382078828,3.8518989582008536
A,main,DT(d5),44,4.620439420432502,4.517529287689395,0.7,2.2272802081987826,4.874062905789887,4.8883347789425535,4.634145208617986,4.517529287689395,4.620439420432502
A,main,DT(d5),45,4.297107442581204,4.297107442581204,1.0,0.0,4.3276211928775625,4.317403877750479,4.38751731567143,4.3901543316110185,4.297107442581204
A,main,DT(d5),46,4.1026906838419075,4.1026906838419075,1.0,0.0,5.476683786852847,5.464333178731974,5.471694320904234,5.481839614823578,4.1026906838419075
A,main,DT(d5),47,3.6263454221157074,4.004788760891024,0.0,-10.435942932168965,4.004788760891024,3.830556042179455,3.82470344506918,3.6101507326725706,3.6263454221157074
A,main,DT(d5),48,4.448156359726326,4.4037196506965826,0.7,0.9989916144152245,4.467157607660752,4.429465334878294,4.444731746205084,4.4037196506965826,4.448156359726326
A,main,DT(d5),49,4.025532848862913,4.025532848862913,1.0,0.0,4.941631768406851,4.821869731397559,4.764385126562012,4.742902493296553,4.025532848862913
A,main,DT(d5),50,3.9985750125205906,4.217066116557275,0.7,-5.464224213689407,4.472259294803273,4.513097536892788,4.840245234024868,4.217066116557275,3.9985750125205906
A,main,DT(d5),51,4.742692428127982,4.490293296196925,0.5,5.321853267020372,4.520622648069144,4.493485611503752,4.490293296196925,4.457850302847157,4.742692428127982
A,main,DT(d5),52,4.06004931120131,4.06004931120131,1.0,0.0,4.044120369568862,4.036755914512126,4.038316141147804,4.034499900126878,4.06004931120131
A,main,DT(d5),53,4.866096874019946,4.902861586024776,0.7,-0.7555277454733078,5.073519276735902,4.973031591333667,5.11029843329413,4.902861586024776,4.866096874019946
A,main,DT(d5),54,4.30565276497579,4.30565276497579,1.0,0.0,4.118537834957457,4.162689058127759,4.1521725317117415,4.443289930404859,4.30565276497579
A,main,DT(d5),55,4.245487119563888,4.222658668073663,0.5,0.5377110057648767,4.238332827770241,4.233844757358269,4.222658668073663,4.247895213557204,4.245487119563888
A,main,DT(d5),56,3.736684535499483,3.736684535499483,1.0,0.0,3.8163569442991943,3.8155430708697398,3.8037631027245316,3.7933770022220084,3.736684535499483
A,main,DT(d5),57,4.236846994899053,4.249508079803241,0.7,-0.29883271497487296,4.19696294725822,4.282902912975874,4.26525819109425,4.249508079803241,4.236846994899053
