experiment,model,seed,standard,LS(0.01),LS(0.05),LS(0.1),LS(0.3),EarlyStop,L2reg
F,MLP(8x2),50,1.1086942521739735,0.7513581800722438,0.8859022043699822,1.472562146759479,1.0968416886903145,1.5598782261968926,4.740859483141257
F,MLP(16x2),50,0.42821436465857815,0.35757863168964493,0.46402144980737153,0.38579539642470057,0.4241995249560617,0.5923349798191277,0.4081299091031615
F,MLP(4),51,5.411011049705036,5.670776688513382,5.4780559132519775,4.769395134509325,6.641624904063021,5.803408341658771,5.391573288614673
F,MLP(8),51,2.9415076213071503,4.260805131767572,5.055497280868587,4.839691890437819,3.4693705264958017,4.989659919376981,5.172529951056109
F,MLP(16),51,4.003236512211085,2.615995064677426,2.2657385134348287,2.8138975750038253,1.9330715630631936,3.2832226293789875,2.4915536180473845
F,MLP(8x2),51,1.4462963095122532,1.6437218627181853,1.918170886701527,1.5627337633685394,1.5072535417467414,2.6832504332945493,1.4677854526957204
F,MLP(16x2),51,0.25686598805807137,0.2982989672717108,0.32561414766335256,0.25810082137389984,0.3226694051507118,0.4303802305056928,0.2662525543007784
F,MLP(4),52,7.24345576966234,5.164959118546653,4.948389528586468,5.003285415786246,4.957908396796953,5.522585713238907,7.147113633983728
F,MLP(8),52,3.3067866726467483,4.177372561022449,4.852434670755621,2.658104922187754,3.599719217616696,4.287679739205947,4.803351024175428
F,MLP(16),52,2.403141746308614,2.5628782393161518,3.7102516897796596,1.805823301860259,2.0730378008069352,4.395566497706472,1.764193136164607
F,MLP(8x2),52,0.8728912124289757,1.7222196812663646,0.8978254108270755,1.5418054474237444,1.2206643973432385,2.17682105877692,1.5388480896232737
F,MLP(16x2),52,0.4462048895458746,0.46175733239171945,0.6008544973127321,0.42723497434084895,0.47081295435621406,0.8636793338599343,0.42546329468878413
F,MLP(4),53,4.927750096287899,4.907844560396004,4.949997676914594,5.050939133584436,4.9037634247829915,8.765814026368204,3.4372258734400924
F,MLP(8),53,3.0752510200176566,4.631002055002958,2.772889566576739,5.063265981163482,4.841688770276944,4.816062295800596,3.5848074101426395
F,MLP(16),53,2.9957638214928375,2.455134448534694,2.2699462916144397,2.498210762820925,1.620930437677076,4.375425721403222,2.264782063675947
F,MLP(8x2),53,0.6016634298897033,0.9248153036947401,0.6723905869378641,1.533922692507076,1.6423110425265404,1.902021940529964,0.8413560103000112
F,MLP(16x2),53,0.41540103324588223,0.3406066501348345,0.2103616473354316,0.31363945272314947,0.375803128549293,0.9661484448939374,0.44042533386683114
F,MLP(4),54,4.887707079465028,5.02280784563843,4.874219376447047,4.968204824731688,4.756362245435938,5.390126133439048,4.9870654491301885
F,MLP(8),54,5.945427268310011,4.526366205727996,4.74122311935019,4.006873345371968,3.700872502864013,4.046477065185183,3.2610361904918825
F,MLP(16),54,1.9968994512397071,2.440120529660364,2.511159908483313,2.206208103642108,2.3754448886528916,3.3524969220409178,2.442252703342351
F,MLP(8x2),54,1.5288000917490019,0.848298371328558,0.6756482464425744,0.7066560233699729,1.159156836904463,1.891702717737417,1.0798482311453101
F,MLP(16x2),54,0.2797820179509218,0.36097397042744195,0.3024864937855241,0.3054880214976496,0.32897883310231757,1.2450776700860484,0.2971656429649482
F,MLP(4),55,5.195574547937203,5.122929584737552,5.00064690159882,5.096824528178904,5.1604876137186535,5.371372190547059,7.0987208136518
F,MLP(8),55,3.7813983998296745,3.4226747873962444,3.2256355905599072,3.094807568310648,5.112552064492909,5.184773211472631,4.309265272589072
F,MLP(16),55,2.3753789221449377,2.528122942443348,2.1160650326574295,2.526752127274243,1.8758837732025317,3.624073223776165,2.5050212150690236
F,MLP(8x2),55,3.762222560609921,3.8879370179784525,1.8511314022440788,1.7064378711739525,1.7659820756015732,2.2439010370557724,1.3589450480004617
F,MLP(16x2),55,0.3031506954379936,0.3048212934111395,0.32472515720039113,0.35052144811123187,0.25720091531200046,1.2139682300471535,0.3504667684714125
